category,image_link
ampullae,http://diglib.hab.de/drucke/xb-7887/00011.jpg
ampullae,http://diglib.hab.de/drucke/xb-7887/00012.jpg
ampullae,http://diglib.hab.de/drucke/196-quod-1s/00043.jpg
ampullae,http://diglib.hab.de/drucke/109-27-med-1s/00323.jpg
ampullae,http://diglib.hab.de/drucke/109-27-med-1s/00149.jpg
ampullae,http://diglib.hab.de/drucke/xb-3832/00119.jpg
ampullae,http://diglib.hab.de/drucke/47-phys-2f/00063.jpg
ampullae,http://diglib.hab.de/drucke/xb-7953/00021.jpg
ampullae,http://diglib.hab.de/drucke/nd-351/00006.jpg
ampullae,http://diglib.hab.de/drucke/nd-4f-18/00400.jpg
ampullae,http://diglib.hab.de/drucke/oc-77-1/01207.jpg
ampullae,http://diglib.hab.de/drucke/nd-2f-1-1b/00973.jpg
ampullae,http://diglib.hab.de/drucke/38-7-med-1s/00006.jpg
ampullae,http://diglib.hab.de/drucke/xb-6197-2s/00301.jpg
ampullae,http://diglib.hab.de/drucke/46-10-med-1s/00148.jpg
ampullae,http://diglib.hab.de/drucke/54-med-1s/00043.jpg
ampullae,http://diglib.hab.de/drucke/54-med-1s/00039.jpg
ampullae,http://diglib.hab.de/drucke/xb-9206-1b/00863.jpg
ampullae,http://diglib.hab.de/drucke/89-4-quod-2f-1s/00065.jpg
ampullae,http://diglib.hab.de/drucke/35-1-phys-2f-1s/00063.jpg
ampullae,http://diglib.hab.de/drucke/35-1-phys-2f-1s/00068.jpg
ampullae,http://diglib.hab.de/drucke/35-1-phys-2f-1s/00074.jpg
ampullae,http://diglib.hab.de/drucke/xb-4679-2s/00023.jpg
ampullae,http://diglib.hab.de/drucke/xb-4679-2s/00019.jpg
ampullae,http://diglib.hab.de/drucke/153-2-phys/00073.jpg
ampullae,http://diglib.hab.de/drucke/153-2-phys/00077.jpg
ampullae,http://diglib.hab.de/drucke/mf-4f-3/00017.jpg
ampullae,http://diglib.hab.de/drucke/nd-782-1/00922a.jpg
ampullae,http://diglib.hab.de/drucke/552-22-quod/00070.jpg
ampullae,http://diglib.hab.de/drucke/47-phys-2f/00060.jpg
ampullae,http://diglib.hab.de/drucke/xb-88-1/00277.jpg
ampullae,http://diglib.hab.de/drucke/xb-4f-8-2/00031.jpg
ampullae,http://diglib.hab.de/drucke/95-1-quod-2f-2s/00137.jpg
ampullae,http://diglib.hab.de/drucke/95-1-quod-2f-2s/00134.jpg
ampullae,http://diglib.hab.de/drucke/95-1-quod-2f-2s/00140.jpg
ampullae,http://diglib.hab.de/drucke/35-1-phys-2f-1s/00108.jpg
ampullae,http://diglib.hab.de/drucke/35-1-phys-2f-1s/00070.jpg
ampullae,http://diglib.hab.de/drucke/35-1-phys-2f-1s/00094.jpg
ampullae,http://diglib.hab.de/drucke/74-phys/00446.jpg
ampullae,http://diglib.hab.de/drucke/54-med-1s/00041.jpg
ampullae,http://diglib.hab.de/drucke/54-med-1s/00057.jpg
ampullae,http://diglib.hab.de/drucke/54-med-1s/00035.jpg
ampullae,http://diglib.hab.de/drucke/46-10-med-1s/00148.jpg
ampullae,http://diglib.hab.de/drucke/218-quod-1s/00003.jpg
ampullae,http://diglib.hab.de/drucke/na-2f-3-1/00417.jpg
ampullae,http://diglib.hab.de/drucke/nd-4f-18/00553.jpg
ampullae,http://diglib.hab.de/drucke/nd-4f-18/00414.jpg
ampullae,http://diglib.hab.de/drucke/nd-4f-18/00411.jpg
ampullae,http://diglib.hab.de/drucke/nd-4f-18/00417.jpg
ampullae,http://diglib.hab.de/drucke/xb-4819/00008.jpg
ampullae,http://diglib.hab.de/drucke/nd-2f-1-1b/00981.jpg
ampullae,http://diglib.hab.de/drucke/mf-2f-6-2b/00055.jpg
ampullae,http://diglib.hab.de/drucke/218-9-quod-11s/r00001.jpg
ampullae,http://diglib.hab.de/drucke/nd-779/00102.jpg
ampullae,http://diglib.hab.de/drucke/nd-779/00242.jpg
ampullae,http://diglib.hab.de/drucke/xb-12f-161/00140.jpg
ampullae,http://diglib.hab.de/drucke/xb-4679-2s/00033.jpg
ampullae,http://diglib.hab.de/drucke/mf-4f-3/00312.jpg
